#;Player;Bio
42;Isaiah Hill;PF – Purdue – HT: 6-10 – WT: NA – WING: NA – C-27 – A tall and lanky big man who can stretch the floor and has a nice skill level on the offensive end. Will have to fill out his frame.
43;RJ Moore;SG – Ambassador Christian, NC – HT: 6-6 – WT: NA – WING: NA – C’27 – A lethal scorer with size and great touch.
44;Jalen Davis;SG – Bremerton, WA – HT: 6-3 – WT: 170 – WING: NA – C’27 – A combo guard with a ton of talent. Can score the ball in bunches and run the show on the offensive end.
45;Maximo Adams;SF – North Carolina – HT: 6-7 – WT: 215 – WING: NA – C’26 – A versatile forward who impacts both ends of the floor.
46;Terrell Jackson;PF – Dallas, TX – HT: 6-9 – WT: NA – WING: NA – C-28 – A bouncy 6-9 athlete with a lot of upside ability.
47;Kinston Knueppel;SF – Wisconsin Lutheran, WI – HT: 6-5 – WT: NA – WING: NA – C’28 – One of Kon’s younger brothers, Kinston is built in the same mold as a low center of gravity player who can really light it up from outside.
48;Cherif Millogo;C – Braintree, MA – HT: 7-2 – WT: 210 – WING: NA – C-27 – A massive center prospect who is very early in his development.
49;Lukas Nikola Bojovic;PG – Slovenia – HT: 6-5 – WT: NA – WING: NA – Int.08–
50;Chase Smith;PF – Charlotte, NC – HT: 6-9 – WT: 195 – WING: NA – C-28 –
51;Luke Ertel;PG – Purdue – HT: 6-2 – WT: NA – WING: NA – C’26 – Feisty af and aggressive on the court, Ertel projects as a great college player who could develop into a NBA-level talent.
52;Jaylen Mitchell;PF – Evansville, IN – HT: 6-7 – WT: NA – WING: NA – C’27 – A big wing/forward who has a ton of versatility to his game.
53;Joseph Tala;SF – Finland – HT: 6-6 – WT: NA – WING: NA – Int.10 – An impressive broad-shouldered wing with great tools and upside.
54;Miles Sadler;PG – West Virginia – HT: 5-11 – WT: 165 – WING: NA – C’26 – Undersized by very dynamic with the ball in his hands. Should be a great college player.
55;Strahinja Zelic;C – New York, NY (Serbia) – HT: 6-10 – WT: NA – WING: NA – C-28 –
56;Maxime Meyer;C – Duke (Canada) – HT: 7-1 – WT: NA – WING: NA – C-26 – A rock solid big man with a good feel for the game. Knows how to use his size to impact the game.
57;Cayden Daughtry;PG – Fort Lauderdale, FL – HT: 6-0 – WT: 155 – WING: NA – C’27 – An ultra-talented undersized guard who could be a multi-year college player.
58;Devin Cleveland;SG – Chicago, IL – HT: 6-3 – WT: 160 – WING: NA – C’27 – A high-scoring guard with crafty handles who can really get to the rim.
59;Livio Berlingeri;SG – Italy – HT: 6-5 – WT: NA – WING: NA – Int.8 – A smooth shooter with a quick release and good accuracy. Has solid size and good movement skills. Not the most explosive but smooth.
60;Jadyn Jenkins;C – Warminster, PA – HT: 6-9 – WT: NA – WING: NA – C-27 – A quick, twitchy and muscular big man with a pro ready frame and some impressive tools.
61;Amari Williams;PF – Shepard, IL – HT: 6-9 – WT: NA – WING: NA – C-28 –
62;Ethan Harris;PF – Iowa – HT: 6-9 – WT: NA – WING: NA – C-26 – A well-rounded player who can play above the rim and space the floor.
63;Chris Paul II;PG – Valley Village, CA – HT: 5-11 – WT: NA – WING: NA – C’28 – The son of CP3, Paul II is an undersized but very talented lead guard who projects as a really good college level player.
64;Josh Lowery;SG – Valencia, CA – HT: 6-6 – WT: 180 – WING: NA – C’28 –
65;Markuss Jahovics;SG – Latvia – HT: 6-5 – WT: NA – WING: NA – Int.10 –
66;Aziz Olajuwon;SF – Stanford – HT: 6-6 – WT: NA – WING: NA – C’26 – A big time athlete with NBA level tools.
67;Nash Avery;PF – Glen Burnie, MD – HT: 6-7 – WT: NA – WING: NA – C-28 –
68;Darius Bivins;PG – Saint Mary’s – HT: 5-11 – WT: 160 – WING: NA – C’26 –
69;Kamsi Awaka;C – Blairstown, NJ – HT: 6-9 – WT: 220 – WING: NA – C’27 –
70;Jeremiah Profit;SG – Temecula, CA – HT: 6-4 – WT: NA – WING: NA – C’27 –
71;Jagmeet Singh;C – India – HT: 7-4 – WT: NA – WING: NA – Int.8 – A very tall and lanky center with a smooth game but a lot of work to do on his frame.
72;Jamal McKnight Jr.;PG – Washington, DC– HT: 5-11 – WT: NA – WING: NA – C’27 –
–;;
